Episode 203: Reward = [1564.6947], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 204: Reward = [1696.8971], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 205: Reward = [1601.7836], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 206: Reward = [1608.431], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 207: Reward = [1493.8132], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 208: Reward = [1675.1475], lambda_i = 2, phi = 6.083954715517736, phi_i_L = 5.0, phi_i_H = 6.509383010864257
Episode 209: Reward = [1423.714], lambda_i = 5, phi = 0.42762294837524395, phi_i_L = 0.01, phi_i_H = 0.51329345703125
Episode 210: Reward = [1018.637], lambda_i = 0, phi = 4.255206761836405, phi_i_L = 3.8, phi_i_H = 4.900198516845704
Episode 211: Reward = [1194.5105], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 212: Reward = [1487.2354], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 213: Reward = [1506.8611], lambda_i = 5, phi = 0.42762374946166976, phi_i_L = 0.01, phi_i_H = 0.5132942581176757
Episode 214: Reward = [1526.892], lambda_i = 5, phi = 0.42762374946166976, phi_i_L = 0.01, phi_i_H = 0.5132942581176757
Episode 215: Reward = [1502.889], lambda_i = 5, phi = 0.42762374946166976, phi_i_L = 0.01, phi_i_H = 0.5132942581176757
Episode 216: Reward = [1506.0422], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
