Episode 205: Reward = [1428.2197], lambda_i = 4, phi = 0.0010000000000000009, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 206: Reward = [1396.2277], lambda_i = 5, phi = 0.4, phi_i_L = 0.0, phi_i_H = 0.4
Episode 207: Reward = [1482.5085], lambda_i = 4, phi = 0.4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 208: Reward = [1397.4523], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 209: Reward = [1046.1456], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 210: Reward = [1530.8536], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 211: Reward = [1477.9031], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 212: Reward = [1612.8115], lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 213: Reward = [1033.8234], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 214: Reward = [1683.2551], lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 215: Reward = [892.63214], lambda_i = 4, phi = 0.0010000000000000009, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 216: Reward = [1543.2559], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 217: Reward = [990.077], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 218: Reward = [871.2163], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 219: Reward = [939.1525], lambda_i = 5, phi = 0.4, phi_i_L = 0.0, phi_i_H = 0.4
Episode 220: Reward = [858.8391], lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 221: Reward = [985.14435], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 222: Reward = [947.8588], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 223: Reward = [1526.2343], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 224: Reward = [953.5762], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 225: Reward = [1245.0566], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 226: Reward = [1530.8818], lambda_i = 5, phi = 0.0, phi_i_L = 0.0, phi_i_H = 0.4
Episode 227: Reward = [1568.4882], lambda_i = 5, phi = 0.4, phi_i_L = 0.0, phi_i_H = 0.4
Episode 228: Reward = [1604.3403], lambda_i = 4, phi = 0.4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 229: Reward = [1409.9937], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 230: Reward = [1448.0591], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 231: Reward = [1478.8397], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 232: Reward = [1420.7178], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 233: Reward = [1533.0577], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.6
Episode 234: Reward = [1485.8352], lambda_i = 5, phi = 0.0, phi_i_L = 0.0, phi_i_H = 0.4
Episode 235: Reward = [1521.4253], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 236: Reward = [1497.3431], lambda_i = 4, phi = 0.4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 237: Reward = [1324.8724], lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 238: Reward = [1531.7576], lambda_i = 2, phi = 5.6, phi_i_L = 4.6, phi_i_H = 5.6
