#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
438.081977,155,182.722329
169.588126,82,182.838164
359.838217,140,183.057178
287.851843,121,185.181891
667.162451,213,185.416663
406.994312,144,185.589709
620.425468,206,185.829314
507.198247,174,186.017894
580.290757,200,186.23191
575.735707,189,186.486748
425.779506,161,186.647608
717.153117,244,186.966609
497.875785,167,187.17788
337.433525,139,187.341944
652.428309,209,189.506175
656.644186,204,189.757653
391.057695,135,189.902243
1031.165687,405,190.351238
709.795281,228,190.589795
897.479995,280,190.908515
923.17621,289,191.290785
724.701027,233,191.585266
779.795543,254,191.954775
426.280094,143,193.853984
636.096419,196,194.078512
235.912227,105,194.19268
649.779704,215,194.483953
396.227058,154,194.669004
650.144719,225,194.925876
750.175712,245,195.197453
564.672733,187,195.439334
299.087863,120,195.602955
216.253884,103,195.985637
656.306755,228,196.299179
468.779969,164,198.295443
365.410624,134,198.457739
356.381583,146,198.62188
102.468035,59,198.684896
156.173483,87,198.77984
98.262416,58,198.845079
501.044015,166,199.036018
447.00739,157,199.19431
926.683111,283,199.501777
332.697663,132,199.657761
606.076579,236,200.005816
850.245313,286,200.383532
1194.513465,396,202.746331
492.212149,165,202.930522
663.698571,209,203.183288
495.383945,166,203.425774
98.391986,56,203.549262
503.460794,203,203.838208
725.946725,241,204.103372
446.224445,152,204.297356
664.966711,217,204.586711
351.815959,137,204.820499
252.575622,109,204.989565
672.277142,210,205.284802
578.214147,190,207.546252
427.308318,144,207.694377
660.249053,212,207.927159
999.09572,307,208.307418
551.801366,180,208.503239
411.197003,149,208.6715
437.960684,161,208.861493
941.482854,281,209.230223
704.784903,237,209.531174
785.146217,249,209.887961
418.816743,142,212.077634
446.080452,153,212.246913
542.28709,180,212.436982
667.632482,257,212.702552
556.539564,179,212.898653
682.197855,217,213.142074
857.507184,268,213.497637
688.546679,217,213.770524
379.965466,134,213.934991
338.717127,141,214.124205
968.714684,308,216.39253
634.599887,209,216.616795
626.130412,197,216.853922
576.200733,190,217.072308
610.876226,195,217.309659
202.638652,90,217.395033
899.138461,295,217.745676
678.800527,214,218.020184
384.46577,134,218.179623
627.015439,197,218.438244
107.421313,59,218.510343
482.10003,160,220.519468
668.356138,227,220.775877
375.099216,133,220.933422
570.194615,184,221.157761
126.62155,70,221.288756
1250.474905,392,221.790574
139.992635,70,221.87058
700.678597,223,222.178056
233.395129,107,222.32373
454.617204,152,222.513885
627.452483,202,222.775263
90.497072,52,222.839226
605.45491,216,224.915367
174.677899,90,225.018231
386.759628,138,225.191994
881.624362,272,225.48192
646.021536,206,225.702108
884.499775,381,226.170806
285.727406,107,226.316916
924.271042,283,226.671979
428.010136,161,226.897626
192.233275,100,227.077184
388.564816,136,227.264097
672.467934,222,229.341127
435.317288,157,229.534669
730.398552,229,229.838991
885.849798,289,230.170471
698.324562,226,230.435966
502.537482,178,230.653306
736.536618,231,230.95496
950.474427,294,231.376973
514.581889,175,231.599217
685.664336,212,233.670802
658.858369,194,233.895901
1088.409511,354,234.28583
837.695281,267,234.579256
396.685174,136,234.724981
430.740925,148,234.914234
904.418305,290,235.320198
451.928806,158,235.533252
535.586005,171,235.781918
404.342399,139,235.961478
925.611925,289,238.154531
660.589599,210,238.385093
757.486147,244,238.670565
793.006921,251,238.964387
581.837207,184,239.178079
657.428358,202,239.432626
670.335912,208,239.706923
627.365941,205,239.964998
534.320627,169,240.29886
641.024661,202,240.611259
613.945711,193,242.623832
641.261358,207,242.854727
1062.444408,325,243.259892
1249.391834,414,243.7158
1279.16057,393,244.201063
1486.154672,500,244.984021
401.985994,138,246.993226
559.46221,181,247.219565
629.387949,201,247.471784
655.530706,201,248.057593
650.436758,204,248.60888
626.813911,206,249.010148
1517.005341,499,249.718586
379.574062,135,249.90218
712.668639,223,250.20474
652.001847,204,252.449596
983.478931,306,252.801023
1019.210972,316,253.181138
760.951742,236,253.445839
561.903208,186,253.696751
627.352738,201,253.959962
680.616292,217,254.274457
901.197246,276,254.623538
637.333083,199,254.899248
1421.391682,456,257.691148
578.713644,182,257.944771
684.411407,215,258.186524
514.391035,159,258.386155
673.677592,211,258.676601
924.852902,283,259.043125
403.820341,138,259.238549
407.185691,143,259.456247
367.304371,126,259.675287
828.24769,256,261.702115
666.155414,216,262.105616
740.351809,240,262.424622
653.331725,208,262.689424
1344.764525,500,263.538142
378.077865,133,263.718084
917.81007,270,264.105313
596.359165,185,264.347401
613.773411,198,264.625178
1119.331677,360,267.337921
698.029273,217,267.626968
918.170891,281,267.95237
545.722232,176,268.195889
390.818943,134,268.392165
702.047517,219,268.674598
708.891111,220,268.943318
1065.923513,325,269.35256
666.404133,205,271.391102
643.22292,211,271.673362
419.61605,146,271.860386
681.652135,209,272.117055
399.143588,134,272.271447
386.257355,137,272.449773
754.211744,235,272.765732
653.766919,197,273.083615
940.752896,299,273.472497
666.216926,213,273.741226
